               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.058442,           0.0091167,            0.027391,             0.29106,             0.22141,             0.18457,            0.072086,            0.054918,           0.0059747,            0.027648,           0.0097491,           0.0097491,           0.0097491
                  36,            0.057853,           0.0090249,            0.027939,              0.3363,             0.22191,             0.18655,            0.073192,            0.055677,           0.0059765,            0.027855,           0.0097343,           0.0097343,           0.0097343
                  37,            0.057958,           0.0090793,            0.028437,             0.25592,             0.23675,             0.19046,             0.07678,            0.055073,           0.0058249,            0.027282,           0.0097191,           0.0097191,           0.0097191
                  38,            0.057279,           0.0090353,            0.027545,             0.29055,             0.20694,             0.17718,            0.067938,            0.056474,           0.0063509,            0.028682,           0.0097035,           0.0097035,           0.0097035
                  39,            0.057536,           0.0090517,            0.027878,             0.29792,             0.22371,             0.19347,            0.078983,            0.054331,           0.0057858,            0.027425,           0.0096875,           0.0096875,           0.0096875
                  40,            0.057548,           0.0090971,            0.027684,             0.24993,             0.25698,             0.18889,            0.075479,            0.055822,           0.0060022,             0.02853,            0.009671,            0.009671,            0.009671
                  41,            0.057534,           0.0090691,            0.027358,             0.25196,             0.27855,                 0.2,            0.079985,            0.054682,           0.0057079,            0.027834,           0.0096542,           0.0096542,           0.0096542
                  42,            0.057332,           0.0088905,            0.027759,             0.34533,             0.23573,             0.19927,            0.078885,             0.05557,           0.0058366,            0.028247,           0.0096369,           0.0096369,           0.0096369
                  43,            0.057508,           0.0089542,            0.027507,             0.28686,             0.23939,             0.19671,            0.078972,            0.054545,            0.005713,            0.027368,           0.0096193,           0.0096193,           0.0096193
                  44,            0.057488,           0.0091261,            0.028025,             0.27815,             0.25686,             0.19947,            0.079149,            0.054503,           0.0057018,             0.02727,           0.0096013,           0.0096013,           0.0096013
                  45,            0.056938,           0.0087726,            0.027292,              0.2694,             0.25155,             0.20077,            0.080076,            0.054115,           0.0056953,            0.027202,           0.0095828,           0.0095828,           0.0095828
                  46,            0.057143,           0.0088917,            0.026945,             0.31191,             0.25342,             0.20761,            0.081448,            0.053897,           0.0057708,            0.027163,            0.009564,            0.009564,            0.009564
                  47,            0.056927,           0.0089368,            0.027635,              0.2826,             0.24203,             0.19807,            0.077592,             0.05463,           0.0059434,            0.027296,           0.0095448,           0.0095448,           0.0095448
                  48,            0.056878,           0.0088766,            0.027333,             0.29119,             0.23106,             0.19564,            0.076077,            0.054796,            0.006018,              0.0274,           0.0095252,           0.0095252,           0.0095252
                  49,            0.057479,           0.0088941,            0.027119,             0.27221,             0.26284,             0.20474,            0.081394,            0.053934,           0.0056542,            0.027003,           0.0095052,           0.0095052,           0.0095052
                  50,            0.056473,           0.0088039,            0.026857,             0.29972,             0.25546,             0.20776,            0.082173,            0.053772,           0.0056785,            0.026748,           0.0094849,           0.0094849,           0.0094849
                  51,            0.056557,           0.0088562,            0.026724,             0.24667,             0.27476,             0.20039,            0.081199,            0.054089,           0.0057821,             0.02719,           0.0094641,           0.0094641,           0.0094641
                  52,            0.056787,           0.0086794,            0.027086,              0.2837,             0.24771,             0.19843,            0.080425,            0.053918,           0.0057165,            0.027092,            0.009443,            0.009443,            0.009443
                  53,            0.056424,           0.0087918,            0.026839,             0.25431,             0.27968,             0.20373,            0.081058,            0.053719,           0.0057087,            0.026844,           0.0094215,           0.0094215,           0.0094215
                  54,            0.056395,           0.0087786,            0.026118,             0.29751,               0.258,             0.21368,            0.084362,            0.053393,           0.0057024,            0.026307,           0.0093996,           0.0093996,           0.0093996
                  55,            0.056173,           0.0088033,            0.026489,             0.27452,             0.26792,             0.20336,            0.079739,            0.053846,           0.0062563,            0.027521,           0.0093773,           0.0093773,           0.0093773
                  56,            0.056201,           0.0086456,            0.026364,             0.28096,             0.29414,             0.22553,            0.089314,            0.053283,           0.0056336,            0.026712,           0.0093547,           0.0093547,           0.0093547
                  57,            0.056393,           0.0086801,            0.027009,             0.33807,             0.25489,             0.21144,            0.085465,            0.053325,           0.0059112,            0.026862,           0.0093317,           0.0093317,           0.0093317
                  58,            0.056084,           0.0087488,            0.027083,             0.31002,             0.26042,              0.2208,            0.087528,            0.053274,           0.0056425,            0.026723,           0.0093083,           0.0093083,           0.0093083
                  59,             0.05625,           0.0087799,            0.026844,             0.30389,             0.27559,             0.22061,            0.087126,            0.053223,           0.0056477,            0.026639,           0.0092846,           0.0092846,           0.0092846
                  60,            0.055853,           0.0089069,            0.026168,             0.36385,              0.2237,             0.21412,            0.085171,             0.05333,           0.0057385,             0.02665,           0.0092605,           0.0092605,           0.0092605
                  61,            0.055575,           0.0088186,             0.02652,             0.34079,             0.25429,             0.21332,            0.086356,            0.053154,           0.0056426,            0.026468,           0.0092361,           0.0092361,           0.0092361
                  62,            0.056037,           0.0087363,            0.026311,             0.27682,             0.30444,             0.22221,            0.086748,            0.053007,           0.0056118,            0.026489,           0.0092113,           0.0092113,           0.0092113
                  63,            0.055763,           0.0086481,            0.026282,             0.29588,             0.25746,             0.21724,            0.086509,            0.053136,           0.0056392,            0.026406,           0.0091861,           0.0091861,           0.0091861
                  64,            0.055797,           0.0087899,            0.026273,             0.30338,             0.27123,              0.2196,            0.090198,            0.052524,           0.0055954,            0.026545,           0.0091606,           0.0091606,           0.0091606
                  65,             0.05571,           0.0087123,            0.026208,             0.32729,             0.25988,             0.22472,            0.091096,            0.052697,           0.0055981,            0.026577,           0.0091348,           0.0091348,           0.0091348
                  66,            0.055709,           0.0088151,            0.026297,             0.25898,             0.28803,             0.22305,            0.087679,            0.053123,           0.0055441,            0.026604,           0.0091086,           0.0091086,           0.0091086
                  67,            0.056007,            0.008784,            0.026833,             0.32148,              0.2626,             0.21241,             0.08366,            0.053352,           0.0059296,            0.026797,           0.0090821,           0.0090821,           0.0090821
                  68,            0.055544,           0.0086779,            0.026359,               0.323,             0.25178,             0.22201,            0.091237,            0.052498,           0.0055813,            0.026224,           0.0090552,           0.0090552,           0.0090552
                  69,             0.05547,           0.0084971,            0.025991,             0.28569,              0.2876,             0.22211,            0.087047,            0.053166,           0.0055494,            0.026259,            0.009028,            0.009028,            0.009028
                  70,            0.055749,           0.0088485,            0.026325,             0.30058,             0.26587,             0.22395,            0.090693,             0.05249,           0.0055777,            0.026222,           0.0090004,           0.0090004,           0.0090004
                  71,            0.055742,           0.0086251,            0.026307,             0.35094,             0.25825,             0.23126,            0.094432,            0.052377,           0.0054902,            0.026046,           0.0089726,           0.0089726,           0.0089726
                  72,            0.055578,           0.0087999,            0.026271,             0.33069,             0.27395,             0.22828,            0.093579,            0.052091,           0.0055315,            0.026057,           0.0089444,           0.0089444,           0.0089444
                  73,            0.055161,           0.0086945,            0.026415,             0.27566,             0.28569,             0.22158,            0.091933,            0.052458,           0.0056986,            0.026357,           0.0089159,           0.0089159,           0.0089159
                  74,            0.054882,            0.008589,            0.025803,             0.30623,               0.273,             0.22382,            0.089604,            0.052064,           0.0054676,             0.02602,            0.008887,            0.008887,            0.008887
                  75,            0.054984,           0.0085614,            0.025973,             0.33525,              0.2808,             0.22923,            0.089834,            0.052357,           0.0056178,            0.026215,           0.0088579,           0.0088579,           0.0088579
                  76,            0.055567,           0.0086576,            0.026026,             0.31266,             0.24785,             0.20772,            0.085007,            0.053094,           0.0057796,            0.026644,           0.0088284,           0.0088284,           0.0088284
                  77,            0.055352,           0.0087781,            0.025913,             0.31647,             0.26714,             0.22367,            0.089739,             0.05253,           0.0055734,            0.026263,           0.0087987,           0.0087987,           0.0087987
                  78,            0.054851,            0.008639,             0.02583,             0.32771,             0.25471,             0.22359,                0.09,            0.052402,           0.0055407,            0.026368,           0.0087686,           0.0087686,           0.0087686
                  79,            0.054979,           0.0087874,            0.025956,             0.34648,             0.24098,             0.22631,            0.092857,             0.05206,           0.0054924,             0.02627,           0.0087382,           0.0087382,           0.0087382
                  80,            0.054831,           0.0085495,            0.025781,             0.29818,             0.27469,             0.23018,            0.093799,            0.052054,           0.0055094,            0.026088,           0.0087075,           0.0087075,           0.0087075
                  81,            0.055268,           0.0086887,            0.025776,             0.30738,             0.27246,             0.23041,            0.094428,            0.051845,           0.0054494,            0.025934,           0.0086765,           0.0086765,           0.0086765
                  82,            0.054928,           0.0086852,            0.026087,             0.32106,             0.25014,             0.22452,            0.092485,            0.052249,           0.0055474,              0.0262,           0.0086452,           0.0086452,           0.0086452
                  83,            0.054771,           0.0085053,            0.025689,             0.28219,             0.29687,             0.23123,            0.095219,             0.05206,           0.0054359,            0.025961,           0.0086137,           0.0086137,           0.0086137
                  84,            0.055102,           0.0084331,            0.025633,             0.33656,             0.25146,             0.23086,            0.094228,             0.05192,           0.0055701,            0.025945,           0.0085818,           0.0085818,           0.0085818
                  85,            0.054596,            0.008511,            0.025906,             0.30358,             0.27268,             0.23085,            0.094282,            0.052577,           0.0055348,            0.026036,           0.0085497,           0.0085497,           0.0085497
                  86,            0.054629,           0.0085153,            0.025621,             0.33464,             0.26944,             0.23699,            0.095345,            0.052268,           0.0055218,            0.025992,           0.0085173,           0.0085173,           0.0085173
                  87,            0.054774,           0.0085976,            0.025322,             0.29936,             0.29701,             0.23243,            0.094792,            0.051756,           0.0054252,            0.025862,           0.0084846,           0.0084846,           0.0084846
                  88,            0.054687,           0.0085457,              0.0259,             0.31622,             0.26681,             0.22996,            0.092397,            0.051989,           0.0054552,            0.025745,           0.0084516,           0.0084516,           0.0084516
                  89,            0.054617,           0.0085448,            0.025482,             0.28154,             0.30462,             0.23776,            0.095779,             0.05195,           0.0054601,            0.025832,           0.0084184,           0.0084184,           0.0084184
                  90,            0.054898,            0.008584,            0.025393,             0.28946,             0.29504,             0.23202,            0.093195,            0.051876,           0.0054813,            0.025926,           0.0083849,           0.0083849,           0.0083849
                  91,            0.054233,           0.0084495,            0.025195,             0.33686,              0.2725,             0.23956,            0.095693,            0.051716,           0.0054745,            0.025828,           0.0083511,           0.0083511,           0.0083511
                  92,             0.05448,           0.0083366,            0.025117,             0.30205,             0.29525,             0.23618,            0.094128,            0.052199,           0.0054918,            0.025918,           0.0083171,           0.0083171,           0.0083171
                  93,            0.054529,           0.0086835,            0.025698,             0.32015,              0.2829,             0.23452,            0.096772,            0.051516,           0.0054609,             0.02572,           0.0082829,           0.0082829,           0.0082829
                  94,            0.054948,           0.0086878,            0.025578,             0.32712,             0.26756,              0.2334,            0.094306,            0.051848,           0.0054312,            0.025885,           0.0082483,           0.0082483,           0.0082483
                  95,            0.057298,           0.0095499,            0.027476,             0.29964,             0.24846,             0.19895,            0.079326,            0.053207,           0.0060522,            0.026607,           0.0082136,           0.0082136,           0.0082136
                  96,            0.058874,            0.010106,            0.029293,             0.30758,             0.20129,             0.15814,            0.064551,            0.056323,           0.0067185,            0.028724,           0.0081786,           0.0081786,           0.0081786
                  97,            0.059638,            0.010029,            0.028877,             0.23737,             0.24733,             0.17755,            0.072258,            0.054196,           0.0061981,            0.027419,           0.0081433,           0.0081433,           0.0081433
                  98,            0.056725,           0.0096261,            0.027144,             0.34253,             0.23978,             0.19907,            0.080648,            0.053298,           0.0059891,            0.026801,           0.0081078,           0.0081078,           0.0081078
                  99,            0.056819,           0.0093185,             0.02703,             0.32639,             0.25244,              0.2122,            0.085801,            0.052922,           0.0058029,             0.02643,           0.0080721,           0.0080721,           0.0080721
                 100,             0.05589,            0.008965,            0.026111,             0.33135,             0.25937,             0.22003,            0.089152,            0.052537,           0.0057036,            0.026216,           0.0080362,           0.0080362,           0.0080362
                 101,            0.055842,           0.0091425,            0.026136,             0.28533,             0.27713,               0.218,            0.090075,            0.052262,           0.0056382,            0.026091,               0.008,               0.008,               0.008
                 102,            0.055026,           0.0088697,            0.025802,             0.30835,             0.26592,             0.22056,            0.090694,            0.052299,           0.0055653,            0.025986,           0.0079636,           0.0079636,           0.0079636
                 103,            0.055164,            0.008837,            0.025803,             0.29811,             0.28893,             0.23083,            0.093363,            0.052181,           0.0055582,            0.025795,            0.007927,            0.007927,            0.007927
                 104,            0.055106,           0.0090026,            0.026002,             0.32164,             0.27158,             0.23183,            0.093994,            0.051946,            0.005593,            0.025668,           0.0078902,           0.0078902,           0.0078902
                 105,            0.054405,           0.0086815,            0.024917,             0.31054,             0.28265,             0.23561,            0.094413,            0.051937,           0.0055493,            0.025745,           0.0078532,           0.0078532,           0.0078532
                 106,            0.054534,           0.0087539,            0.025206,             0.37257,             0.24117,             0.23246,            0.094357,            0.051877,           0.0055114,            0.025713,            0.007816,            0.007816,            0.007816
